AP,REG,type,an_total_value_value,an_total_low_value,an_total_high_value,excessrate_total_value_value,excessrate_total_low_value,excessrate_total_high_value,fraction_total_value_value,fraction_total_low_value,fraction_total_high_value
pm25v0,PL229,Attribute,78.74616234,43.65535735,114.1216849,162.2499582,89.94763306,235.1399522,1.631554869,0.904514107,2.364475767
pm25v0,PL228,Attribute,94.81880262,71.43873525,116.6728919,211.8137435,159.5850955,260.6337576,1.983090363,1.494117289,2.440143008
pm25v0,PL227,Attribute,112.2448507,77.000089,148.3019842,177.7588289,121.9424223,234.8620861,1.965111656,1.348105931,2.596303352
pm25v0,PL225,Attribute,62.2896401,19.67423295,103.682264,95.34498119,30.11484749,158.7031922,0.976738982,0.308506634,1.625785482
pm25v0,PL224,Attribute,109.1119633,92.61177384,125.2988152,207.1853013,175.8539326,237.9217866,1.800194879,1.527968646,2.067250216
pm25v0,PL21A,Attribute,86.47729051,55.51965392,117.2317511,157.2919685,100.9836084,213.230863,1.617602935,1.038542207,2.192843134
pm25v0,PL219,Attribute,31.50638477,15.23046975,47.01067247,94.47686537,45.67103113,140.9687273,1.098274433,0.530925378,1.638706707
pm25v0,PL218,Attribute,62.77531388,42.51230229,82.49662087,119.078384,80.64169816,156.4873455,1.495986371,1.013117262,1.965932988
pm25v0,PL217,Attribute,88.41643732,68.64554039,108.0793364,194.3460086,150.8880456,237.5666063,2.194273492,1.703623146,2.682235848
pm25v0,PL214,Attribute,115.6800147,67.12841745,163.4963324,169.2057363,98.19059171,239.143235,1.801544281,1.045434165,2.546190987
pm25v0,PL213,Attribute,49.82179754,0,141.5111971,66.00914744,0,187.4881217,0.692838159,0,1.967827901
pm25v0,NO0A3,Attribute,1.281964425,0,7.241402235,5.176166524,0,29.23820378,0.056654369,0,0.320022185
pm25v0,NO0A2,Attribute,3.085684513,0,13.57455456,9.241162097,0,40.6511064,0.064964227,0,0.285790996
